# Starttemperatur Messung0.01
#Endtemperatur gemittelt über 10000 Zeitschritte: 0.714844

#Radius 	 Paarkorrelation 
0	0
0.08	0
0.16	0
0.24	0
0.32	0
0.4	0
0.48	0
0.56	0
0.64	0
0.72	0
0.8	0
0.88	0
0.96	0.497359
1.04	2.30259
1.12	2.57255
1.2	2.00548
1.28	1.50715
1.36	1.06577
1.44	1.00816
1.52	0.63764
1.6	0.606536
1.68	0.867487
1.76	0.828932
1.84	0.793658
1.92	0.761264
2	0.731411
2.08	0.938414
2.16	0.904289
2.24	0.87256
2.32	1.05373
2.4	1.01918
2.48	0.789459
2.56	0.95646
2.64	0.927909
2.72	0.901013
2.8	0.875632
2.88	0.851642
2.96	0.828932
3.04	0.807401
3.12	0.786961
3.2	0.921036
3.28	0.749035
3.36	0.877693
3.44	0.857516
3.52	0.838246
3.6	0.819823
3.68	0.802192
3.76	0.785304
3.84	0.897298
3.92	0.87917
